time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-31 00:00:00+00:00,332,116,420,90
2022-02-01 00:00:00+00:00,301,93,511,87
2022-02-02 00:00:00+00:00,478,122,811,116
2022-02-03 00:00:00+00:00,277,101,507,120
2022-02-04 00:00:00+00:00,297,96,625,110
2022-02-05 00:00:00+00:00,158,76,329,76
2022-02-06 00:00:00+00:00,101,58,260,78
2022-02-07 00:00:00+00:00,200,95,784,143
2022-02-08 00:00:00+00:00,248,103,521,134
2022-02-09 00:00:00+00:00,189,83,452,119
2022-02-10 00:00:00+00:00,197,79,866,136
2022-02-11 00:00:00+00:00,212,86,535,107
2022-02-12 00:00:00+00:00,96,54,202,71
2022-02-13 00:00:00+00:00,90,55,224,85
